,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_subsample,params
0,-0.45223619965233425,-0.4534157230112677,-0.4536432158102994,-0.45079286092765725,-0.4452289942705309,-0.45106340920576116,0.0030879588568222542,6,507.99744577407836,72.51481861802195,1.310136079788208,0.3301581242791005,0.4160029192647807,0.7304484857455519,0.24877801005599337,0.042815319280763466,13,21,2,87,5.497557739289786e-07,0.6513136724634089,"OrderedDict([('colsample_bylevel', 0.4160029192647807), ('colsample_bytree', 0.7304484857455519), ('gamma', 0.24877801005599337), ('learning_rate', 0.042815319280763466), ('max_delta_step', 13), ('max_depth', 21), ('min_child_weight', 2), ('n_estimators', 87), ('reg_alpha', 5.497557739289786e-07), ('subsample', 0.6513136724634089)])"
1,-0.42510219148453976,-0.4262697722193923,-0.4262448974161179,-0.428461938463426,-0.42344423081802784,-0.4259045989159487,0.0016423347627814793,2,99.04487414360047,5.3316170746724065,0.3910680294036865,0.02565209627940795,0.8390144719977516,0.8844821246070537,5.378869267509367e-07,0.7988179462781242,17,3,1,68,0.0005266983003701547,0.9539453486878958,"OrderedDict([('colsample_bylevel', 0.8390144719977516), ('colsample_bytree', 0.8844821246070537), ('gamma', 5.378869267509367e-07), ('learning_rate', 0.7988179462781242), ('max_delta_step', 17), ('max_depth', 3), ('min_child_weight', 1), ('n_estimators', 68), ('reg_alpha', 0.0005266983003701547), ('subsample', 0.9539453486878958)])"
2,-0.43246521850874975,-0.4341923621949133,-0.4332407440507094,-0.43247986127176075,-0.42795786682245857,-0.43206721412332894,0.0021498208278951576,5,868.2407392501831,137.4031041280646,1.8938313961029052,0.25415317555605416,0.4503841871781403,0.9195352964526833,8.784811093670505e-09,0.07356404539935663,4,23,1,88,0.00010376808625045426,0.9734749079159599,"OrderedDict([('colsample_bylevel', 0.4503841871781403), ('colsample_bytree', 0.9195352964526833), ('gamma', 8.784811093670505e-09), ('learning_rate', 0.07356404539935663), ('max_delta_step', 4), ('max_depth', 23), ('min_child_weight', 1), ('n_estimators', 88), ('reg_alpha', 0.00010376808625045426), ('subsample', 0.9734749079159599)])"
3,-0.4242694167529589,-0.4255164629461457,-0.4256836765013077,-0.4254647995479534,-0.4201657933551597,-0.42422003026165594,0.0020886134098473843,1,47.79000062942505,6.49364421401578,0.38134136199951174,0.0485168009570206,0.8142720284737898,0.1801528457825951,0.00024122576791788593,0.4032083917998946,10,5,4,94,0.1611980387486336,0.3929273115755069,"OrderedDict([('colsample_bylevel', 0.8142720284737898), ('colsample_bytree', 0.1801528457825951), ('gamma', 0.00024122576791788593), ('learning_rate', 0.4032083917998946), ('max_delta_step', 10), ('max_depth', 5), ('min_child_weight', 4), ('n_estimators', 94), ('reg_alpha', 0.1611980387486336), ('subsample', 0.3929273115755069)])"
4,-0.4657085032586552,-0.46905502613954786,-0.46751342444601357,-0.4661734731430578,-0.46690006065163864,-0.46707008537079947,0.0011681856849538052,7,632.9445429325103,96.60995107459091,2.9090270519256594,0.3215094114675888,0.8015579071911014,0.44364889457651413,5.490123754862843e-05,0.2700390206185342,18,36,2,83,1.5057560255472018e-06,0.6628319664121053,"OrderedDict([('colsample_bylevel', 0.8015579071911014), ('colsample_bytree', 0.44364889457651413), ('gamma', 5.490123754862843e-05), ('learning_rate', 0.2700390206185342), ('max_delta_step', 18), ('max_depth', 36), ('min_child_weight', 2), ('n_estimators', 83), ('reg_alpha', 1.5057560255472018e-06), ('subsample', 0.6628319664121053)])"
5,-1.1510056397237012,-1.1553933893269743,-1.1572112069933922,-1.148278810951154,-1.1415324806407399,-1.150684308396222,0.005557339244909475,10,389.9671977996826,56.26970730571217,0.5431889057159424,0.059355804259821954,0.7366877378057127,0.9399760402267441,2.9680048599860796e-08,0.0238149998729586,16,19,2,77,0.011683028450342707,0.5618529316013081,"OrderedDict([('colsample_bylevel', 0.7366877378057127), ('colsample_bytree', 0.9399760402267441), ('gamma', 2.9680048599860796e-08), ('learning_rate', 0.0238149998729586), ('max_delta_step', 16), ('max_depth', 19), ('min_child_weight', 2), ('n_estimators', 77), ('reg_alpha', 0.011683028450342707), ('subsample', 0.5618529316013081)])"
6,-0.5476780332385919,-0.5489043634460327,-0.5471389635844023,-0.547891103115763,-0.5422505331845382,-0.5467726073980249,0.002332311225995846,8,742.042335319519,115.81973067541874,2.1804850101470947,0.27735833254649855,0.6209085649172932,0.7776107350396038,1.7029676077229942e-06,0.5605967693796124,12,30,3,71,0.004026635957416632,0.6379565754318666,"OrderedDict([('colsample_bylevel', 0.6209085649172932), ('colsample_bytree', 0.7776107350396038), ('gamma', 1.7029676077229942e-06), ('learning_rate', 0.5605967693796124), ('max_delta_step', 12), ('max_depth', 30), ('min_child_weight', 3), ('n_estimators', 71), ('reg_alpha', 0.004026635957416632), ('subsample', 0.6379565754318666)])"
7,-0.4262970333235064,-0.42762146045447286,-0.4287436307705214,-0.4278400174606387,-0.4230684441599667,-0.42671411350989097,0.001983661840449172,3,71.15802793502807,11.293740467504483,0.31517438888549804,0.047319511213973285,0.5479690370134094,0.9208091341729433,2.9390050504238993e-05,0.4734922490673386,6,3,3,51,2.9618722230360503e-06,0.8276864968834418,"OrderedDict([('colsample_bylevel', 0.5479690370134094), ('colsample_bytree', 0.9208091341729433), ('gamma', 2.9390050504238993e-05), ('learning_rate', 0.4734922490673386), ('max_delta_step', 6), ('max_depth', 3), ('min_child_weight', 3), ('n_estimators', 51), ('reg_alpha', 2.9618722230360503e-06), ('subsample', 0.8276864968834418)])"
8,-0.4305034369254302,-0.431431562460726,-0.4329488303313353,-0.4296109221541454,-0.42486461034633016,-0.4298718780825117,0.002736407454154172,4,126.64795904159546,18.52787013695868,0.49782557487487794,0.07165164373643221,0.955923206446829,0.7036152301751524,0.06996282803033609,0.06786442521779147,8,11,0,69,0.00022356829889037284,0.18414734153191756,"OrderedDict([('colsample_bylevel', 0.955923206446829), ('colsample_bytree', 0.7036152301751524), ('gamma', 0.06996282803033609), ('learning_rate', 0.06786442521779147), ('max_delta_step', 8), ('max_depth', 11), ('min_child_weight', 0), ('n_estimators', 69), ('reg_alpha', 0.00022356829889037284), ('subsample', 0.18414734153191756)])"
9,-1.097774370123418,-1.101973076671294,-1.1038358734988973,-1.0950250435153717,-1.0880082002299247,-1.0973233168350427,0.005590870793820484,9,237.8166265487671,36.63085683461776,0.465529727935791,0.05465569543798439,0.013594004182195795,0.819651719467114,0.004694017445221059,0.03229300915669146,12,14,2,58,0.11080071157037095,0.815144689868032,"OrderedDict([('colsample_bylevel', 0.013594004182195795), ('colsample_bytree', 0.819651719467114), ('gamma', 0.004694017445221059), ('learning_rate', 0.03229300915669146), ('max_delta_step', 12), ('max_depth', 14), ('min_child_weight', 2), ('n_estimators', 58), ('reg_alpha', 0.11080071157037095), ('subsample', 0.815144689868032)])"
